no.,type,Diagnostic Metric,Description,Per Page/Site/Post,Executive/ DIY (AIV),AIO,AIVisualize Free,AIV Pro,AIV Enteprise,AIOptimize Free,AIO Pro,AIO Ent,AISocialize
1,about.md,about.md simple sample,,Site,DIY,,Upgrade to AIV Pro hook,X,X,,,,
2,about.md,about.md check,,Site,EXEC,,X,X,X,,,,
3,about.md,about.md creation,create/continously monitor and help modify the about.md with existing content on the about site,Site,,upgrade from about.md-simple sample (AIV DIY),,,,X,X (Headless browser),X (Headless browser),
4,AI Accessibility,IsMobileFriendly(per page),"1. Checks for width=device-width and initial-scale=1
2. Checks if there are structural text tags and text behind hidden tags and calculates the Hidden Text Ration which if >25%(which means more that 25% of the factual sentences are hidden behind desktop only wrappers), then it raises a warning badge.",Page,DIY (show per page),Upgrade from AIVisualize DIY,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (shows pointers on how to be mobile friendly),X (Headless browser),X (Headless browser),
5,AI Accessibility,Has Semantic tags(per page),"Semantic tags are specialized HTML5 layout wrappers—such as <main>, <nav>, <article>, <section>, and <footer>—that explicitly declare the function of a code container.",Page,DIY (show per page),,X (upto 3 pages),X(upto 40 pages),X,,,,
6,AI Accessibility,Heading Counts (Per page),"Checks the number of H1, H2, H3, H4 etc.  Ideally there should only be one H1 header",Page,DIY (show per page),,X (upto 3 pages),X(upto 40 pages),X,,,,
7,AI Accessibility,Has Proper Heirarchy (Per page),"Checks if the heirarchy  H1->H2->H3->H4 etc is followed  and there is for example, no H3 without an H2 etc.",Page,DIY (show per page),,X (upto 3 pages),X(upto 40 pages),X,,,,X
8,AI Accessibility,Images without Alt (per page),Checks all the image tags and confirms how many of them have got Alt texts.   Lower the better,Page,DIY (show per page),,X (upto 3 pages),X(upto 40 pages),X,,,,X
9,ai-bot readability,ai-bot readable content from actual webpage,"Shows what the content on the page looks like when ai-bots strip away all the markups and tags.  Content could be lost in pop-ups, ",Page,EXEC(Page Consolidate)-DIY(Per Page-possibly as a separate webpage for proper review) (AIV),,(Upto 3 pages),(upto 40 pages),X,,,,
10,ai-bot readability,ai-bot readable content from ai-context.md,Shows what the ai-bots can read from the ai-context.md file (primarily focusing on showing if there is enough content when compared to the actual webpage),Site,EXEC(Page Consolidate)-DIY(Per Page-possibly as a separate webpage for proper review) (AIV),,X,X,X,,,,
11,ai-context.md,ai-context.md creation/modification/maintenance,create/continously monitor and help modify the ai-context.md with existing content on the web site,Site,offered as upgrade when reviewing ai-context.md,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X (Headless browser),X (Headless browser),
12,ai-context.md,ai-context.md simple sample,,Site,DIY,,Upgrade to AIV Pro hook,X,X,,,,
13,ai-context.md,ai-context.md file availability and existence,,Site,EXEC-DIY,,X,X,X,,,,
14,ai-context.md,ai-context.md AI-bot and User-Agent status,,Site,"EXEC(only for Gemini,ChatGPT,Copilot,Perplexity and Claude)-DIY(lists all bots that have access to the file)",,X,X,X,,,,
15,ai-context.md,ai-context.md availablility in robots.txt,,Site,EXEC-DIY,,X,X,X,,,,
17,ai-context.md,ai-context.md addition based on providers,,Site,"EXEC(only for Gemini,ChatGPT,Copilot,Perplexity and Claude)-DIY(lists all bots that have access to the file)",,X,X,X,,,,
